ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45654403,"13,328.00",1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6,Automatic,4x4,04-may,Left wheel,Silver,12
44731507,"16,621.00",1018,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3,192000 km,6,Tiptronic,4x4,04-may,Left wheel,Black,8
45809263,"11,726.00",446,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45802912,"39,493.00",891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,160931 km,4,Automatic,Front,04-may,Left wheel,White,4
45756839,"26,657.00",-,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500 km,6,Automatic,4x4,04-may,Left wheel,Silver,12
45797221,"28,382.00",810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317 km,4,Automatic,Front,04-may,Left wheel,White,4
45801686,"18,826.00",531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45168471,"20,698.00",586,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000 km,4,Automatic,Front,04-may,Left wheel,White,12
45751951,"17,562.00",1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709 km,4,Automatic,Front,04-may,Left wheel,Black,12
45782859,"20,385.00",-,MERCEDES-BENZ,E 220,2006,Sedan,Yes,Diesel,2.2 Turbo,210000 km,4,Tiptronic,Rear,04-may,Left wheel,Black,8
45801525,"14,454.00",583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,158787 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45768550,"12,074.00",1537,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550 km,6,Automatic,4x4,04-may,Left wheel,Blue,12
44944581,"15,681.00",1288,MERCEDES-BENZ,Vito,2007,Goods wagon,No,Diesel,2.0 Turbo,180000 km,6,Manual,Rear,04-may,Left wheel,White,4
45760983,"19,444.00",915,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3,175056 km,6,Automatic,4x4,04-may,Left wheel,White,12
45542380,"24,462.00",-,JEEP,Grand Cherokee,2007,Jeep,Yes,Diesel,3.0 Turbo,250000 km,6,Tiptronic,4x4,04-may,Left wheel,Black,10
45732374,"23,235.00",707,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2,162000 km,4,Automatic,Front,04-may,Left wheel,Grey,4
45801668,"19,121.00",531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490 km,4,Automatic,Front,04-may,Left wheel,Silver,4
45815051,"24,462.00",751,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200 km,4,Automatic,Front,04-may,Left wheel,Blue,4
45797488,"45,734.00",1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,61057 km,4,Automatic,Front,04-may,Left wheel,Black,4
45667253,"20,165.00",650,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.4 Turbo,11200 km,4,Tiptronic,Front,04-may,Left wheel,Black,8
45108412,"21,326.00",382,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000 km,4,Tiptronic,Front,04-may,Left wheel,White,12
45726453,"15,681.00",503,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,128000 km,4,Variator,Front,04-may,Left wheel,Sky blue,8
45811563,"12,544.00",-,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,141500 km,4,Automatic,Front,04-may,Right-hand drive,Black,8
45699930,"17,249.00",-,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000 km,4,Variator,4x4,04-may,Left wheel,White,8
